state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
5,50,5119,49,4025,4,42,7,0.0010632606903173674,0.032252240939626815
5,50,5123,49,4005,4,42,7,0.00013345594527700035,0.0040481636734023465
5,50,5123,49,4025,4,42,7,0.0003388030740205842,0.010277026578624388
5,50,5125,49,4001,4,42,5,1.5863419707405677e-07,7.888482749267763e-08
5,50,5125,49,4025,4,42,7,5.6035290195065475e-05,0.0016997371359169864
5,50,5131,49,4005,4,42,5,0.00037868657538938825,0.0001883113838275301
5,50,5131,49,4025,4,42,5,0.0009613672554336444,0.00047806394523236436
5,50,5143,49,4005,4,42,5,0.0004635940061950291,0.000230533730304454
5,50,5143,49,4025,4,42,5,0.001176920773895731,0.0005852533308311289
5,50,5145,49,4001,4,42,5,0.0001719898576996559,8.552626423162549e-05
5,50,5145,49,4025,4,42,7,0.00013608468015701398,0.004127901964762758
6,61,6037,49,4001,4,42,5,5.5223502313937694e-05,0.0002208908568695016
6,61,6037,49,4001,4,42,43,0.05318510136138695,0.16989010367616136
6,61,6037,49,4005,4,42,6,0.0007717401831662182,0.0038587408031674148
6,61,6037,49,4005,4,42,7,0.0025708485649912475,0.00836249254535061
6,61,6037,49,4015,4,42,3,0.08380645653780859,12.103387633919828
6,61,6037,49,4015,4,42,6,0.0028296245529690345,0.011426805409685109
6,61,6037,49,4015,4,42,7,0.0009985744785044324,0.0032409052409863672
6,61,6037,49,4015,4,42,43,0.3961084683460955,0.8646910413107195
6,61,6037,49,4025,4,42,3,0.04184576635323034,35.82741100364567
6,61,6037,49,4025,4,42,6,0.0019592079308210822,0.009796140915627577
6,61,6037,49,4025,4,42,7,0.05514442204169434,0.5298218097616828
6,61,6059,49,4001,4,42,5,1.4200719964781333e-05,5.680206922321002e-05
6,61,6059,49,4001,4,42,43,0.009307586952401385,0.029731388525027377
6,61,6059,49,4005,4,42,6,0.00029313773468306006,0.0014657038242182096
6,61,6059,49,4005,4,42,7,0.0024332068467757258,0.01721028063738941
6,61,6059,49,4015,4,42,3,0.01100984766307595,0.01633018824976945
6,61,6059,49,4015,4,42,6,0.000353676139164615,0.0016702955754384662
6,61,6059,49,4015,4,42,7,0.00015374128003740645,0.0004989722158485665
6,61,6059,49,4015,4,42,43,0.14612736940326965,0.3425996218785963
6,61,6059,49,4025,4,42,3,0.013517321032580557,11.573228512879231
6,61,6059,49,4025,4,42,7,0.01653812283186738,0.2678679988744737
6,61,6065,49,4001,4,42,5,2.8883582379588296e-06,1.1553268072383445e-05
6,61,6065,49,4001,4,42,6,3.077631696796402e-06,1.5388317551156752e-05
6,61,6065,49,4001,4,42,7,8.696600603284884e-06,2.778166117346234e-05
6,61,6065,49,4001,4,42,43,0.010435809282359059,0.03333528893510401
6,61,6065,49,4005,4,42,3,0.0017965183668694,1.5381389209630183
6,61,6065,49,4005,4,42,7,0.0034116256816942433,0.0287257786820463
6,61,6065,49,4015,4,42,3,0.005641561144588421,0.00836775933082937
6,61,6065,49,4015,4,42,6,8.824129327987347e-05,0.00035634271209234245
6,61,6065,49,4015,4,42,7,1.1602753388151459,3.562239441342181
6,61,6065,49,4015,4,42,43,0.1494375987751122,0.3620119076441337
6,61,6065,49,4025,4,42,3,0.021404525100521737,3.929838792693998
6,61,6065,49,4025,4,42,6,0.0002634575788752021,0.0010639144632650652
6,61,6065,49,4025,4,42,7,3.464975041560115,10.647930505025718
6,61,6065,49,4025,4,42,43,0.4461683017421816,1.0808406944968283
6,61,6071,49,4001,4,42,5,9.260240793621294e-06,3.704043456158453e-05
6,61,6071,49,4001,4,42,6,7.56857623233497e-06,3.7843272342997604e-05
6,61,6071,49,4001,4,42,7,3.9689332764590086e-05,0.00024267772485196023
6,61,6071,49,4001,4,42,43,0.009127580664291932,0.029156391276428006
6,61,6071,49,4005,4,42,3,0.0018730164384967531,1.6036348621782983
6,61,6071,49,4005,4,42,6,1.894233896739689e-05,9.471342079042114e-05
6,61,6071,49,4005,4,42,7,0.001687396558081909,0.01626734932953582
6,61,6071,49,4015,4,42,3,0.003026988945183033,0.0044897350824016575
6,61,6071,49,4015,4,42,6,0.00017729028735523176,0.0007126385332823303
6,61,6071,49,4015,4,42,7,1.3982882914537889,4.027842911929749
6,61,6071,49,4015,4,42,43,0.12852750932036405,0.31600020358842795
6,61,6071,49,4025,4,42,3,0.013792533526317874,4.0845341642845465
6,61,6071,49,4025,4,42,6,0.0005293266692789026,0.002127688926727924
6,61,6071,49,4025,4,42,7,4.178951851264361,12.066614221424814
6,61,6071,49,4025,4,42,43,0.3837381022624518,0.9434658703088944
6,61,6111,49,4005,4,42,5,5.302289684509856e-05,0.00021208856061382016
6,61,6111,49,4005,4,42,7,3.817552872725016e-05,0.00012216169192720048
6,61,6111,49,4005,4,42,43,0.0242897770105029,0.07758926144646094
6,61,6111,49,4015,4,42,3,0.0020484256574550453,1.7538163196858167
6,61,6111,49,4015,4,42,7,5.9843333891116174e-05,0.0012679306368180235
6,61,6111,49,4025,4,42,6,0.00010387925355195143,0.0005194016367515679
6,61,6111,49,4025,4,42,7,0.0026122349118885098,0.021378896858242135
6,61,6111,49,4025,4,42,43,0.0616641776531716,0.19697496604205705
6,62,6017,49,4001,4,42,3,1.1395251675147836e-08,8.09662619023662e-08
6,62,6017,49,4005,4,42,3,0.00013618117181989417,0.001007634648063551
6,62,6017,49,4025,4,42,3,0.0003457215753149138,0.002558070496934356
6,62,6057,49,4001,4,42,3,9.7766020266553e-09,6.946533018939291e-08
6,62,6057,49,4005,4,42,3,6.510430741312556e-05,0.0004817211881126034
6,62,6057,49,4025,4,42,3,0.00016527955676883145,0.0012229400422337374
6,62,6061,49,4001,4,42,3,9.956209288923617e-09,7.07414870528783e-08
6,62,6061,49,4005,4,42,3,6.312140920703231e-05,0.00046704928516639357
6,62,6061,49,4025,4,42,3,0.00016024559588908284,0.0011856926508972926
6,62,6067,49,4001,4,42,3,9.532298434554876e-07,6.772948887710044e-06
6,62,6067,49,4005,4,42,3,0.0009446491959542427,0.0069896685965351365
6,62,6067,49,4025,4,42,3,0.002398170053766257,0.017744591310458205
6,62,6101,49,4025,4,42,3,0.0016687675296060368,0.012347580505610068
6,62,6113,49,4001,4,42,3,1.880232269814554e-07,1.3359545074998145e-06
6,62,6113,49,4005,4,42,3,0.00067892462805642,0.005023513673080095
6,62,6113,49,4025,4,42,3,0.0017235781481024699,0.012753136409856812
6,62,6115,49,4001,4,42,3,7.403848034711044e-09,5.2606288667683733e-08
6,63,6073,49,4015,4,42,6,1.1040120435175256e-06,3.934297464171547e-05
6,63,6073,49,4025,4,42,6,3.296193077221508e-06,0.0001174643351155301
6,64,6001,49,4005,4,42,3,0.06527447070981053,0.19060957992543207
6,64,6001,49,4005,4,42,7,6.635792107665663e-05,0.00041423564031677117
6,64,6001,49,4015,4,42,6,0.0029878635335176904,0.01145347687848448
6,64,6001,49,4025,4,42,3,0.16571154837387145,0.4838983492452781
6,64,6001,49,4025,4,42,6,0.008920713458419133,0.03419606825727335
6,64,6001,49,4025,4,42,7,0.00016846209136447626,0.0010516152578808632
6,64,6013,49,4005,4,42,3,0.0046432929753363284,0.01355899349125702
6,64,6013,49,4005,4,42,7,1.5024651857327396e-05,9.379055554598997e-05
